time,Irms,VibrationMag
1614.796,0.322366267,0.031221015
1615.796,0.304609358,0.035537709
1616.796,0.274407655,0.026668698
1617.796,0.309455752,0.058476824
1618.796,0.249377608,0.070754685
1619.795,0.307104051,0.055832282
1620.796,0.301615268,0.051961675
1621.796,0.306593657,0.043455511
1622.797,0.287101746,0.038556471
1623.795,0.312040061,0.052467953
1624.796,0.312823504,0.054566521
1625.797,0.30464831,0.036652192
1626.796,0.247282609,0.054907888
1627.797,0.273963928,0.039289173
1628.796,0.2959207,0.05885471
1629.796,0.239363328,0.063826464
1630.797,0.304738551,0.045790587
1631.796,0.227334932,0.064058684
1632.796,0.297456443,0.079486437
1633.796,0.252443701,0.038688991
1634.796,0.291572124,0.029768832
1635.796,0.271694839,0.074787386
1636.797,0.251780123,0.040511433
1637.795,0.302390426,0.042600449
1638.796,0.310241848,0.06405279
1639.796,0.322953016,0.068603054
1640.795,0.293823719,0.0498376
1641.796,0.322284341,0.055896867
1642.797,0.317566603,0.05306137
1643.797,0.307866037,0.070100538
1644.796,0.255049199,0.041579865
1645.796,0.308979064,0.038401168
1646.796,0.296136022,0.02089533
1647.796,0.315570056,0.06717927
1648.796,0.312878341,0.073030375
1649.797,0.312525094,0.041169483
1650.797,0.294577479,0.057312578
1651.796,0.314470112,0.050420791
1652.796,0.300900519,0.039189275
1653.797,0.320103467,0.033476342
1654.796,0.243544087,0.031145399
1655.795,0.308431983,0.043386046
1656.797,0.284178734,0.04185668
1657.796,0.301842123,0.023000134
1658.796,0.308987349,0.043739781
1659.797,0.298460692,0.028392119
1660.796,0.300442606,0.032351065
1661.796,0.296605229,0.053167652
1662.796,0.312386781,0.025136007
1663.795,0.258059979,0.029393777
1664.797,0.282294512,0.052194744
1665.796,0.262426794,0.02816421
1666.796,0.249587536,0.053545963
1667.797,0.247963831,0.056172654
1668.797,0.244969711,0.050532904
1669.796,0.24739863,0.044362467
1670.796,0.247646034,0.05237199
1671.796,0.237968266,0.039354656
1672.796,0.22662352,0.043188747
1673.796,0.230319396,0.07178726
1674.796,0.244997218,0.061631292
1675.796,0.284444779,0.049239498
1676.797,0.294588208,0.046175137
1677.796,0.312978894,0.047717586
1678.797,0.324651271,0.072139822
1679.797,0.323200464,0.034024537
1680.795,0.311088234,0.031392504
1681.796,0.315958113,0.040443625
1682.797,0.311520368,0.048594657
1683.795,0.307410687,0.024190852
1684.796,0.310809642,0.067001678
1685.797,0.312636763,0.063904732
1686.796,0.309362739,0.065331042
1687.796,0.305134922,0.040059898
1688.796,0.315384328,0.066496104
1689.796,0.316615075,0.067453712
1690.796,0.316543341,0.053499948
1691.796,0.323712617,0.047355026
1692.796,0.319098741,0.038553853
1693.796,0.308238506,0.033431351
1694.796,0.310767412,0.035764854
1695.797,0.302736521,0.039629474
1696.796,0.29668209,0.039990362
1697.796,0.291659325,0.060401876
1698.796,0.27507779,0.03659898
1699.797,0.267951042,0.014563386
1700.797,0.260668159,0.049298201
1701.796,0.251422435,0.046283424
1702.796,0.241681367,0.055558909
1703.797,0.240109965,0.042844798
1704.796,0.234804481,0.079582937
1705.796,0.240641832,0.056542888
1706.796,0.236844569,0.044760797
1707.796,0.239076927,0.064239204
1708.797,0.258145481,0.028269989
1709.795,0.256435126,0.055075187
1710.796,0.278579116,0.066156544
1711.797,0.280302107,0.04735155
1712.796,0.300446212,0.059634905
1713.797,0.306751996,0.060669329
1714.796,0.310472935,0.034056336
1715.797,0.315532088,0.045644905
1716.795,0.314701229,0.05309191
1717.796,0.318801969,0.048483815
1718.797,0.305643737,0.052341778
1719.797,0.305822104,0.040949393
